ENT,DTTO FED,DTTO LOC,CVE,NOMBRE DE MUNICIPIO,SECCIÓN,CVE,TIPO DE SECCIÓN
7,9,13,102,Tuxtla Gutiérrez ,1682,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1683,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1687,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1688,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1689,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1690,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1691,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1692,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1693,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1694,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1695,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1696,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1697,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1698,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1699,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1700,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1701,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1702,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1704,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1705,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1706,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1707,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1708,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1709,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1710,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1711,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1712,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1713,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1714,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1715,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1716,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1717,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1718,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1719,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1720,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1721,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1722,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1723,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1724,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1725,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1726,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1727,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1728,2,Urbana
7,9,13,102,Tuxtla Gutiérrez ,1729,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1730,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1732,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1733,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1734,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1735,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1736,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1737,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1738,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1741,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1742,3,Mixta
7,9,13,102,Tuxtla Gutiérrez ,1743,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1745,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1746,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1747,3,Mixta
7,6,13,102,Tuxtla Gutiérrez ,1748,3,Mixta
7,9,13,102,Tuxtla Gutiérrez ,1752,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,1753,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,2116,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,2117,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,2118,2,Urbana
7,6,13,102,Tuxtla Gutiérrez ,2119,2,Urbana
